state,totalNumber,speeding,alcohol,distracted,geoID
Alabama,18.8,39,30,20,01
Alaska,18.1,41,25,6,02
Arizona,18.6,35,28,4,04
Arkansas,22.4,18,26,5,05
California,12,35,28,11,06
Colorado,13.6,37,28,5,08
Connecticut,10.8,46,36,18,09
Delaware,16.2,38,30,1,10
District of Columbia,5.9,34,27,0,11
Florida,17.9,21,29,6,12
Georgia,15.6,19,25,7,13
Hawaii,17.5,54,41,13,15
Idaho,15.3,36,29,2,16
Illinois,12.8,36,34,4,17
Indiana,14.5,25,29,5,18
Iowa,15.7,17,25,13,19
Kansas,17.8,27,24,15,20
Kentucky,21.4,19,23,24,21
Louisiana,20.5,35,33,2,22
Maine,15.1,38,30,16,23
Maryland,12.5,34,32,1,24
Massachusetts,8.2,23,35,20,25
Michigan,14.1,24,28,23,26
Minnesota,9.6,23,29,12,27
Mississippi,17.6,15,31,0,28
Missouri,16.1,43,34,16,29
Montana,21.4,39,44,15,30
Nebraska,14.9,13,35,10,31
Nevada,14.7,37,32,1,32
New Hampshire,11.6,35,30,17,33
New Jersey,11.2,16,28,22,34
New Mexico,18.4,19,27,2,35
New York,12.3,32,29,20,36
North Carolina,16.8,39,31,19,37
North Dakota,23.9,23,42,14,38
Ohio,14.1,28,34,18,39
Oklahoma,19.9,32,29,6,40
Oregon,12.8,33,26,10,41
Pennsylvania,18.2,50,31,12,42
Rhode Island,11.1,34,38,21,44
South Carolina,23.9,38,41,19,45
South Dakota,19.4,31,33,14,46
Tennessee,19.5,21,29,19,47
Texas,19.4,40,38,13,48
Utah,11.3,43,16,4,49
Vermont,13.6,30,30,5,50
Virginia,12.7,19,27,12,51
Washington,10.6,42,33,14,53
West Virginia,23.8,34,28,13,54
Wisconsin,13.8,36,33,16,55
Wyoming,17.4,42,32,10,56
