carNum,x,y,side,pos1x,pos1y,pos2x,pos2y,pos3x,pos3y,pos4x,pos4y,row
1,251,85,left,0,0,0,200,-100,230,-100,70,0
2,296,85,left,0,0,0,200,-145,230,-145,130,0
3,341,85,left,0,0,0,0,0,0,0,0,0
4,386,85,left,0,0,0,0,0,0,0,0,0
5,431,85,left,0,0,0,0,0,0,0,0,0
6,251,144,left,0,0,0,170,-150,170,-150,10,1
7,296,144,left,0,0,0,170,-195,170,-195,70,1
8,341,144,left,0,0,0,130,-190,170,-190,135,1
9,386,144,left,0,0,0,0,0,0,0,0,1
10,431,144,left,0,0,0,,,,,,1
11,532,85,right,0,0,0,,,,,,0
12,577,85,right,0,0,0,,,,,,0
13,622,85,right,0,0,0,,,,,,0
14,667,85,right,0,0,0,,,,,,0
15,712,85,right,0,0,0,,,,,,0
16,532,144,right,0,0,0,,,,,,1
17,577,144,right,0,0,0,,,,,,1
18,622,144,right,0,0,0,,,,,,1
19,667,144,right,0,0,0,,,,,,1
20,712,144,right,0,0,0,,,,,,1
