carNum,x,y,side,pos1x,pos1y,pos2x,pos2y,pos3x,pos3y,pos4x,pos4y,row
1,251,45,left,0,0,0,200,-100,230,-100,70,0
2,296,45,left,0,0,0,200,-145,230,-145,130,0
3,341,45,left,0,0,0,320,-245,370,-245,290,0
4,386,45,left,0,0,0,260,-232,380,-232,290,0
5,431,45,left,0,0,0,255,-250,465,-275,445,0
6,251,104,left,0,0,0,170,-150,170,-150,10,1
7,296,104,left,0,0,0,170,-195,170,-195,70,1
8,341,104,left,0,0,0,130,-190,170,-190,135,1
9,386,104,left,0,0,0,240,-255,300,-290,290,1
10,431,104,left,0,0,0,310,-290,395,-335,385,1
